,Country\year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Canada,702802.75,714078.51,717172.39,725371.84,722557.67,723096.02,706933.91,716092.01,728475.89,730244.94
1,France,513461.78,488902.16,490286.17,491502.99,461188.53,464205.67,467060.00,470564.32,452034.46,442984.67
2,Germany,941805.34,917273.60,923342.03,940419.54,901255.14,904261.81,907967.91,892075.67,855890.41,809798.54
3,Italy,516473.73,503645.26,484218.02,449178.94,427930.41,440436.70,437696.09,432713.74,428549.35,418280.60
4,Japan,1300451.71,1351251.66,1394043.99,1405888.61,1356588.54,1318516.70,1301855.89,1288528.72,1245020.89,1209493.35
5,Romania,116143.75,123862.20,121086.33,111881.72,112485.91,113193.87,110762.21,114245.64,115090.96,111767.06
6,Russia,2013432.45,2070533.86,2095638.94,2037755.83,2037987.26,2035889.30,2037209.58,2071543.37,2133581.60,2119432.41
7,Ukraine,407123.69,428395.17,417435.21,409042.06,362608.94,319141.19,337456.51,323045.06,339797.89,332114.02
8,United Kingdom,608732.30,563659.98,580418.64,566545.83,526556.30,509050.72,484146.20,473389.98,466666.98,453101.46
9,United States,6991106.34,6827402.42,6585907.77,6764669.11,6824956.71,6671112.07,6520337.84,6483291.33,6671449.40,6558345.18
